car[0];0.1;5530312;6442450944;170.2;30.1;0;5.53031e+06;1;23.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];1.1;17711039;6442450944;170.2;31.141;1.97572;1.21807e+07;2;57.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];1.1;17711039;6442450944;170.2;31.141;1.97572;-1;-1;-1;server2;5.53031e+06;179.635;-1;-1;-1;-1;-1; ;
car[0];2.1;32597331;6442450944;170.2;34.2608;4.03488;1.48863e+07;1;23.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];3.1;43532593;6442450944;170.2;39.2354;5.86848;1.09353e+07;2;81.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];4.1;49719127;6442450944;170.2;46.2318;7.91303;6.18653e+06;0;9.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];5.1;60745258;6442450944;170.2;55.2422;9.89753;1.10261e+07;1;23.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];6.1;79087806;6442450944;170.2;66.3304;12.1429;1.83425e+07;2;57.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];7.1;86756301;6442450944;170.2;79.5629;14.1471;7.6685e+06;1;34.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];8.1;88248080;6442450944;170.2;94.6134;15.3855;1.49178e+06;2;38.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];9.1;96305911;6442450944;170.2;109.94;15.3807;8.05783e+06;2;43.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];10.1;97494881;6442450944;170.2;125.293;15.3481;1.18897e+06;1;34.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];11.1;117614635;6442450944;170.2;140.646;15.3783;2.01198e+07;1;29.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];12.1;123393273;6442450944;170.2;154.745;12.2146;5.77864e+06;1;27.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];13.1;129135518;6442450944;170.2;164.485;7.71456;5.74224e+06;2;95.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];14.1;143105565;6442450944;166.543;169.922;7.17646;1.397e+07;2;79.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];15.1;144512961;6442450944;158.742;170.2;8.67876;1.4074e+06;1;42.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];16.1;149841948;6442450944;148.905;170.2;10.6769;5.32899e+06;1;34.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];17.1;157187884;6442450944;137.208;170.2;12.4748;7.34594e+06;2;48.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];18.1;176455273;6442450944;123.598;170.2;14.4159;1.92674e+07;2;53.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];19.1;177187307;6442450944;108.444;170.2;15.2806;732034;0;20.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];20.1;187797346;6442450944;93.1062;170.2;15.3469;1.061e+07;1;48.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];21.1;195804109;6442450944;77.765;170.2;15.3346;8.00676e+06;2;100.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];22.1;200763570;6442450944;62.4208;170.2;15.3532;4.95946e+06;2;77.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];23.1;216089967;6442450944;47.0723;170.2;15.3818;1.53264e+07;2;107.1; ;-1;-1;-1;-1;-1;-1;-1; ;
car[0];24.1;217933081;6442450944;31.7251;170.2;15.3143;1.84311e+06;1;50.1; ;-1;-1;-1;-1;-1;-1;-1; ;
