time;escalonamento;server;carId, CoordX, CoordY, idObj;tempDetect;SizeObj;obDetect;prioridadeVideo;deadlineVideo;coordObjX;coordObjY;
2.134;3;server2;1;1518.57;770.2;2;2.134;0.929951;2;0;7.134;1341.59;752.44;
3.135;3;server2;1;1515.14;770.2;4;3.135;0.973579;2;0;10.135;1297.96;555.879;
4.136;3;server2;1;1519;770;0;1.135;0.630375;2;1;4.135;1362.75;794.881;
5.108;3;server2;1;1509.83;770.2;6;4.136;1.15888;2;1;11.136;1666.13;974.144;
5.135;3;server2;3;779.8;1515.39;10;5.135;0.946323;2;2;13.135;849.059;1348.64;
5.142;3;server2;5;1519;770;12;5.142;1.37305;2;2;16.142;1251.45;493.271;
5.154;3;server2;3;779.8;1515.39;14;5.154;1.07185;2;2;11.154;830.501;1484.65;
6.143;3;server2;5;1518.61;770.2;16;6.1;1.61763;2;2;6;1508.44;720.288;
6.143;3;server2;5;1518.61;770.2;16;6.143;1.61763;2;2;12.143;1508.44;720.288;
6.229;3;server2;1;1502.75;770.2;18;6.229;0.613261;2;2;15.229;1712.96;652.467;
7.133;3;server2;7;779;1519;20;7.133;1.99411;2;2;19.133;494.525;1419.82;
7.139;3;server2;3;779.8;1503.05;22;7.139;0.8237;2;1;17.139;617.485;1348.61;
7.142;3;server2;5;1515.44;770.2;24;7.142;1.28125;2;2;20.142;1764.23;1033.45;
7.152;3;server2;7;779;1519;26;7.152;2.62288;2;2;18.152;497.825;1453.03;
7.159;3;server2;3;779.8;1503.05;28;7.159;2.09573;2;0;17.159;937.047;1738.5;
7.346;3;server2;1;1480.35;770.2;30;6.1;0.530892;1;2;7;1450.8;677.76;
7.346;3;server2;1;1480.35;770.2;30;7.346;0.530892;1;2;14.346;1450.8;677.76;
8.132;3;server2;7;779.8;1518.58;34;8.132;1.12713;2;2;17.132;728.218;1483.12;
8.139;3;server2;1;1469.95;770.2;37;8.139;0.971919;2;2;19.139;1775.81;1069;
8.141;3;server2;5;1510.46;770.2;40;8.141;0.481756;2;2;19.141;1644.16;636.598;
8.151;3;server2;7;779.8;1518.58;42;8.151;1.20703;2;2;19.151;590.604;1460.14;
9.127;3;server2;3;779.8;1483.42;45;9.127;0.449023;2;1;20.127;957.602;1516.54;
9.127;3;server2;7;779.8;1515.07;47;9.127;0.614534;1;1;20.127;900.063;1427.62;
9.139;3;server2;1;1455.62;770.2;53;8.1;1.13465;2;1;9;1386.95;752.586;
9.139;3;server2;1;1455.62;770.2;53;9.139;1.13465;2;1;18.139;1386.95;752.586;
9.161;3;server2;1;1455.62;770.2;58;4.1;1.55848;2;2;9;1261.15;527.6;
9.161;3;server2;1;1455.62;770.2;58;9.161;1.55848;2;2;18.161;1261.15;527.6;
10.127;3;server2;7;779.8;1509.63;63;10.127;1.16428;2;1;23.127;710.78;1705.73;
10.14;3;server2;5;1494.41;770.2;68;10.14;0.535313;2;2;21.14;1407.48;673.275;
10.141;3;server2;5;1494.41;770.2;72;10.141;0.619847;2;1;24.141;1412.35;492.92;
10.143;3;server2;9;1518.6;770.2;77;10.143;0.620779;2;2;23.143;1607.14;945.328;
10.144;3;server2;1;1441.23;770.2;82;10.144;0.49156;2;1;21.144;1301.57;843.723;
10.147;3;server2;9;1518.6;770.2;86;10.147;0.771834;2;2;23.147;1387.53;594.175;
10.166;3;server2;5;1494.41;770.2;91;10.166;1.45681;2;2;22.166;1352.55;1065.93;
11.127;3;server2;7;779.8;1502.22;101;11.127;1.98773;2;2;27.127;541.982;1266.37;
11.132;3;server2;1;1426.85;770.2;110;11.132;1.2637;2;1;23.132;1281.2;703.097;
11.134;3;server2;9;1515.29;770.2;119;11.1;1.72494;2;2;11;1482.51;761.463;
11.134;3;server2;9;1515.29;770.2;119;11.134;1.72494;2;2;22.134;1482.51;761.463;
11.134;3;server2;11;779;1519;128;11.134;1.72753;2;2;25.134;768.531;1288.1;
11.14;3;server2;3;779.8;1456.63;137;11.14;0.400696;2;1;28.14;510.12;1726.8;
12.127;3;server2;7;779.8;1492.94;142;12.127;0.865869;2;2;26.127;720.762;1649.51;
12.141;3;server2;9;1510.11;770.2;151;12.141;0.81502;2;1;28.141;1441.25;503.964;
12.145;3;server2;5;1470.41;770.2;160;12.145;0.436986;2;2;26.145;1458.87;559.04;
12.145;3;server2;5;1470.41;770.2;168;12.145;0.609339;2;2;26.145;1351.17;921.522;
12.327;3;server2;11;779.8;1518.17;177;12.327;0.497952;2;1;29.327;921.724;1789.1;
13.127;3;server2;3;779.8;1518.19;8;5.108;0.554839;2;2;13.108;547.399;1598.62;
13.132;3;server2;7;779.8;1482.44;185;13.127;1.21779;2;2;30.127;528.272;1572.83;
13.133;3;server2;11;779.8;1515.41;194;13.132;2.15152;2;1;27.132;881.411;1470.22;
13.138;3;server2;3;779.8;1428.75;210;13.133;0.548744;2;0;28.133;1030.37;1255.07;
13.152;3;server2;13;1519;770;218;13.138;0.4805;2;2;31.138;1686.11;1054.27;
13.158;3;server2;3;779.8;1428.75;226;13.152;0.652013;2;1;28.152;977.306;1372.02;
14.125;3;server2;5;1455.63;770.2;241;13.158;0.710639;2;1;31.158;1339.32;500.452;
14.127;3;server2;9;1494.05;770.2;263;14.125;0.472331;2;1;31.125;1339.34;606.061;
14.133;3;server2;7;779.8;1471.94;271;14.127;1.39509;2;2;31.127;971.381;1661.05;
14.134;3;server2;1;1383.62;770.2;286;14.133;0.572797;2;2;31.133;1206.71;661.703;
14.134;3;server2;3;779.8;1414.8;294;14.134;0.973163;2;2;29.134;761.501;1483.91;
14.14;3;server2;11;779.8;1510.36;309;14.134;1.8303;2;1;34.134;534.501;1788.65;
14.141;3;server2;9;1494.05;770.2;331;14.14;0.756761;1;1;32.14;1767.73;923.876;
14.142;3;server2;5;1439.77;770.2;339;14.141;1.08697;2;2;30.141;1658.43;616.38;
14.154;3;server2;1;1383.62;770.2;354;14.142;1.29616;2;1;31.142;1454.93;1001.2;
14.176;3;server2;13;1518.62;770.2;376;14.154;0.587846;2;2;30.154;1418.85;706.81;
15.133;3;server2;13;1518.62;770.2;384;14.176;0.831288;2;2;32.176;1288.3;710;
15.135;3;server2;1;1369.23;770.2;421;11.1;1.37705;2;2;15;1304.63;522.712;
15.135;3;server2;1;1369.23;770.2;421;15.135;1.37705;2;2;30.135;1304.63;522.712;
15.14;3;server2;7;779.8;1461.45;399;15.133;2.6512;2;2;31.133;925.802;1234.91;
16.119;3;server2;5;1423.87;770.2;429;15.14;1.3832;1;2;35.14;1708.51;854.118;
16.128;3;server2;9;1469.71;770.2;445;13.1;1.19561;2;1;16;1342.12;605.12;
16.128;3;server2;3;779.8;1386.93;437;16.119;0.688125;2;1;33.119;669;1359.68;
16.134;3;server2;9;1469.71;770.2;445;16.128;1.19561;2;1;32.128;1342.12;605.12;
16.137;3;server2;9;1469.71;770.2;460;16.134;0.413856;2;2;35.134;1342.26;625.181;
16.138;3;server2;3;779.8;1386.93;468;16.137;0.990065;2;1;37.137;692.691;1096.7;
16.139;3;server2;11;779.8;1495.01;483;16.138;0.426835;2;1;36.138;530.626;1718.76;
16.141;3;server2;11;779.8;1495.01;491;16.139;0.448948;2;1;33.139;913.516;1438.5;
16.238;3;server2;1;1354.82;770.2;506;16.141;0.557311;2;1;34.141;1225.17;738.104;
16.424;3;server2;13;1509.8;770.2;528;16.238;0.443121;2;2;33.238;1408.76;721.437;
16.436;3;server2;13;1509.15;770.2;536;16.424;0.445131;2;1;35.424;1477.18;525.969;
17.127;3;server2;13;1509.15;770.2;551;16.436;0.840784;1;1;35.436;1632.15;974.627;
17.127;3;server2;3;779.8;1494.15;32;8.127;0.41354;2;1;17.127;684.767;1443.22;
17.133;3;server2;3;779.8;1372.98;573;17.127;0.876951;1;2;35.127;735.477;1461.39;
17.135;3;server2;11;779.8;1484.55;602;17.127;0.581699;2;1;36.127;686.136;1615.58;
17.137;3;server2;9;1454.43;770.2;610;17.133;0.482939;2;1;37.133;1215.33;987.802;
17.138;3;server2;1;1340.41;770.2;617;17.135;0.720255;2;1;38.135;1609.76;957.994;
17.142;3;server2;15;779.8;1515.41;637;17.137;0.414528;2;2;38.137;993.139;1797.89;
17.144;3;server2;15;779.8;1515.41;644;17.138;0.625793;2;2;38.138;611.884;1738.55;
17.146;3;server2;13;1502.32;770.2;657;17.142;0.9464;2;2;39.142;1217.13;1002.25;
17.149;3;server2;5;1392.12;770.2;682;17.144;2.04145;2;1;35.144;1380.38;1006.72;
17.156;3;server2;11;779.8;1484.55;725;17.146;1.11407;2;2;36.146;664.39;1680.07;
17.167;3;server2;5;1392.12;770.2;756;17.149;0.414341;2;0;38.149;1637.54;957.296;
17.189;3;server2;1;1340.41;770.2;763;17.156;0.867416;2;2;36.156;1529.93;531;
17.26;3;server2;5;1392.12;770.2;776;17.167;0.691083;2;0;35.167;1501.6;631.187;
17.265;3;server2;5;1392.12;770.2;789;17.189;1.41158;2;1;35.189;1674.26;850.17;
18.127;3;server2;17;1519.88;770.2;820;17.26;1.21836;2;2;38.26;1236.43;692.139;
18.132;3;server2;1;1326.03;770.2;919;18.1;0.52991;1;2;18;1352.74;808.865;
18.132;3;server2;1;1326.03;770.2;919;18.132;0.52991;1;2;36.132;1352.74;808.865;
18.132;3;server2;17;1519.88;770.2;839;17.265;1.56133;1;2;37.265;1694.19;775.264;
18.135;3;server2;11;779.8;1472.14;894;18.127;1.25586;1;2;37.127;850.265;1392.72;
18.136;3;server2;15;779.8;1510.39;926;18.132;1.02408;2;2;38.132;858.77;1389.87;
18.147;3;server2;9;1437.34;770.2;933;18.135;0.423678;2;2;38.135;1388.43;655.928;
18.156;3;server2;5;1376.22;770.2;940;18.136;1.41843;2;2;37.136;1296.13;713.869;
18.168;3;server2;13;1492.98;770.2;959;18.147;0.649347;2;2;37.147;1476.15;690.159;
18.176;3;server2;5;1376.22;770.2;972;18.156;1.87604;2;2;37.156;1191.86;916.17;
19.114;3;server2;7;779.8;1429.98;1089;14.1;1.54019;2;1;18;1021.62;1351.54;
19.114;3;server2;13;1492.98;770.2;1009;18.168;1.02204;2;2;40.168;1214.19;850.686;
19;16.;3;server2;7;779.8;1429.98;1089;19.114;1.54019;2;1;37.114;1021.62;1351.54;
19.128;3;server2;5;1376.22;770.2;1028;18.176;2.05698;2;2;37.176;1554.71;726.977;
19.128;3;server2;1;1311.65;770.2;1114;19.128;0.57671;2;0;42.128;1358.83;511.767;
19.133;3;server2;11;779.8;1459.16;1121;19.128;0.607469;2;1;41.128;832.109;1273.24;
19.133;3;server2;7;779.8;1419.5;1178;15.1;0.438789;2;2;19;566.008;1647.77;
19.133;3;server2;7;779.8;1419.5;1178;19.133;0.438789;2;2;38.133;566.008;1647.77;
19.134;3;server2;19;779;1519;1134;19.128;1.62957;2;1;42.128;501.392;1438.06;
19.134;3;server2;5;1360.32;770.2;1159;19.133;0.644542;2;2;44.133;1627.04;1059.26;
